sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"rt_md_1635155690.280","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1635155690.784364",1,"UI:Search",0,1635155691,0,0,failed,"36.354",,,,,,,,,,,,,,,,,,,,
"rt_md_1635158057.289","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1635158057.129521",1,"UI:Search",0,1635158058,0,0,failed,"38.475",,,,,,,,,,,,,,,,,,,,
"1635162857.312","| eventcount summarize=false index=* index=_* | dedup index | head 1000","DESKTOP-7BRP32B","1635162857.861451",0,,0,1635162858,11,0,completed,"0.444",,,,,,,,,,,,,,,,,,,,
"1635162931.313","| walklex index=* index=main index=splunk-git type=field | where substr(field,0,1) != "" "" | stats count by field | sort 250 -count","DESKTOP-7BRP32B","1635162931.926505",0,,0,1635162932,0,0,completed,"0.063","1635162871.000000000","1635162931.000000000","1635162871.000000000","1635162931.000000000",,,,,,,,,,,,,,,,
"1635163201.318","| eventcount summarize=false index=* index=_* | dedup index | head 1000","DESKTOP-7BRP32B","1635163201.521174",0,,0,1635163203,11,0,completed,"0.8130000000000001",,,,,,,,,,,,,,,,,,,,
"1635163286.320","| eventcount summarize=false index=* index=_* | dedup index | head 1000","DESKTOP-7BRP32B","1635163286.481627",0,,0,1635163286,11,0,completed,"0.267",,,,,,,,,,,,,,,,,,,,
"rt_md_1635163909.355","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1635163909.446968",1,"UI:Search",0,1635163910,0,0,failed,"32.394",,,,,,,,,,,,,,,,,,,,
"rt_md_1635163924.356","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1635163924.355431",1,"UI:Search",0,1635163925,0,0,canceled,"20.279",,,,,,,,,,,,,,,,,,,,
"1635163930.359","| history | search NOT search=""| history*"" AND NOT search=""*metadata*"" AND NOT search=""*loadjob*"" AND NOT savedsearch_name=""*"" AND NOT search=""search"" AND NOT search=""*from sid*"" AND NOT search=""| eventcount summarize=false index=* index=_**"" AND NOT provenance=""UI:LocateData"" AND NOT provenance=""UI:TableEditor"" AND NOT provenance=""UI:DataModel"" AND NOT provenance=""UI:Pivot"" AND NOT provenance=""UI:Dataset"" | dedup search | head 100000","DESKTOP-7BRP32B","1635163930.973382",0,"UI:Search",0,1635163931,1,0,completed,"0.195",,,,,,,,,,,,,,,,,,,,
"1635163945.365","| walklex index=* index=main index=splunk-git type=field | where substr(field,0,1) != "" "" | stats count by field | sort 250 -count","DESKTOP-7BRP32B","1635163945.136816",0,"UI:Search",16,1635163945,16,0,completed,"0.083","1635076800.000000000","1635163945.000000000","1635076800.000000000","1635163945.000000000",,,,,,,,,,,,,,,,
