sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"rt_md_1634737585.3","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1634737585.961781",1,"UI:Search",0,1634737586,0,0,failed,"174.873",,,,,,,,,,,,,,,,,,,,
"rt_md_1634820290.25","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1634820290.338533",1,"UI:Search",0,1634820290,0,0,failed,"41.382",,,,,,,,,,,,,,,,,,,,
"rt_md_1634820472.26","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1634820472.776182",1,"UI:Search",0,1634820473,0,0,failed,"35.339",,,,,,,,,,,,,,,,,,,,
"1634820597.27","| from inputlookup:""geo_attr_countries""","DESKTOP-7BRP32B","1634820597.374046",0,"UI:Dataset",0,1634820597,255,0,completed,"0.07200000000000001","1634731200.000000000","1634820597.000000000","1634731200.000000000","1634820597.000000000",,,,,,,,,,,,,,,,
"1634820790.28","search source=""WinEventLog:*"" host=""DESKTOP-7BRP32B""","DESKTOP-7BRP32B","1634820790.391164",0,"UI:Search",15050,1634820791,10642,15050,completed,"3.369",,,,,,,,,,,,,,,,,,,,
"rt_md_1634826951.85","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1634826951.914398",1,"UI:Search",0,1634826952,0,0,failed,"619.187",,,,,,,,,,,,,,,,,,,,
"rt_md_1635063781.9","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1635063781.521429",1,"UI:Search",0,1635063782,0,0,failed,"35.457",,,,,,,,,,,,,,,,,,,,
"rt_md_1635083924.3","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1635083924.427778",1,"UI:Search",0,1635083924,0,0,failed,"38.45",,,,,,,,,,,,,,,,,,,,
"1635083937.7","| from inputlookup:""geo_attr_countries""","DESKTOP-7BRP32B","1635083937.162053",0,"UI:Dataset",0,1635083937,255,0,completed,"0.089","1634994000.000000000","1635083937.000000000","1634994000.000000000","1635083937.000000000",,,,,,,,,,,,,,,,
"rt_md_1635083945.8","| metadata type=sourcetypes | search totalCount > 0","DESKTOP-7BRP32B","1635083945.782620",1,"UI:Search",0,1635083946,0,0,canceled,"9.156",,,,,,,,,,,,,,,,,,,,
