sid,search,"splunk_server","_time","is_realtime","api_et","api_lt","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"1635209222.306","| savedsearch instrumentation.deployment.app","DESKTOP-7BRP32B","1635209222.736184",0,"1635109200.000000000","1635195599.000000000",0,1635209252,24,0,"1635109200.000000000","1635195599.000000000",completed,"0.091",,,,,,,,,,,,,,,
"1635209282.307","| savedsearch instrumentation.topology.deployment.licensing.slave","DESKTOP-7BRP32B","1635209282.183990",0,"1635109200.000000000","1635195599.000000000",0,1635209282,1,0,"1635109200.000000000","1635195599.000000000",completed,"0.063",,,,,,,,,,,,,,,
"1635209312.308","| savedsearch instrumentation.usage.search.report_acceleration","DESKTOP-7BRP32B","1635209312.626016",0,"1635109200.000000000","1635195599.000000000",0,1635209312,1,0,"1635109200.000000000","1635195599.000000000",completed,"30.007",,,,,,,,,,,,,,,
"1635209372.309","| savedsearch instrumentation.usage.search.searchTelemetry","DESKTOP-7BRP32B","1635209372.924238",0,"1635109200.000000000","1635195599.000000000",139,1635209402,1,139,"1635109200.000000000","1635195599.000000000",completed,"0.96",,,,,,,,,,,,,,,
"1635209462.310","| savedsearch instrumentation.usage.search.searchtelemetry.sourcetypeUsage","DESKTOP-7BRP32B","1635209462.506368",0,"1635109200.000000000","1635195599.000000000",17579,1635209463,0,17579,"1635109200.000000000","1635195599.000000000",completed,"30.125",,,,,,,,,,,,,,,
"1635209522.311","| savedsearch instrumentation.usage.lookups.lookupDefinitions","DESKTOP-7BRP32B","1635209522.972810",0,"1635109200.000000000","1635195599.000000000",0,1635209523,1,0,"1635109200.000000000","1635195599.000000000",completed,"4.49",,,,,,,,,,,,,,,
"1635209557.312","| savedsearch instrumentation.performance.bundleReplication","DESKTOP-7BRP32B","1635209557.781110",0,"1635109200.000000000","1635195599.000000000",0,1635209587,0,0,"1635109200.000000000","1635195599.000000000",completed,"29.98",,,,,,,,,,,,,,,
"1635209617.313","| savedsearch instrumentation.performance.bundleReplicationCycle","DESKTOP-7BRP32B","1635209617.917972",0,"1635109200.000000000","1635195599.000000000",0,1635209647,1,0,"1635109200.000000000","1635195599.000000000",completed,"29.979",,,,,,,,,,,,,,,
"1635209678.314","| savedsearch instrumentation.usage.metrics","DESKTOP-7BRP32B","1635209678.135471",0,"1635109200.000000000","1635195599.000000000",0,1635209707,0,0,"1635208778.000000000","2147483647.000000000",completed,"0.083",,,,,,,,,,,,,,,
"1635209737.315","| savedsearch instrumentation.usage.rollup","DESKTOP-7BRP32B","1635209737.498838",0,"1635109200.000000000","1635195599.000000000",0,1635209737,1,0,"1635109200.000000000","1635195599.000000000",completed,"30.408",,,,,,,,,,,,,,,
"1635209798.316","| savedsearch instrumentation.usage.kvstore","DESKTOP-7BRP32B","1635209798.049227",0,"1635109200.000000000","1635195599.000000000",0,1635209798,1,0,"1635109200.000000000","1635195599.000000000",completed,"0.081",,,,,,,,,,,,,,,
